state,today,total
KUD S Hosp Mahanth Darsan Das,0,"1,196"
KUD S JAMIN HAAT PACS GODOWN,0,353
KUD S MS BANGRA,0,555
KUD S PB FAKULI,0,729
KUD S PS Chhajan Maniyari,0,685
KUD S PS THATIA,0,526
KUDH S Kafen (Power Grid Corp),0,263
KUDH S Sakri Saraiya Reja Ali,0,269
KUDHANI HSC KALYANPUR,0,21
Kadhi Bhandar,0,79
Kan 4TE Bangara Hardas AWC,0,231
Kan S Chandrasheel School,0,178
Kan S Sam Mirjapur,0,159
Kan TE Gopalpur,0,201
Kan TE HSC Serukahi,0,350
Kan TE Panchyat Bhavan,0,150
Kan TE3 Manifulkahan AWC74,0,200
KanTE2 Gangaram Pokhar,0,210
Kanta Sub Center,0,358
Kanti 18 Plus HS Kanti,0,"1,843"
Kanti 18 Plus MS Kanti,0,"3,932"
Kanti 45 Plus MS Singar,0,24
Kanti APHC Birpur,0,666
Kanti APHC Harchanda,0,"1,197"
Kanti APHC Jhitkahi Madhuban,0,333
